chrom	start	end	band	stain
chr1	0	2300000	p36.33	gneg
chr1	143200000	147500000	q21.1	gneg
chr1	147500000	150600000	q21.2	gpos50
chr1	150600000	155100000	q21.3	gneg
chr1	156600000	159100000	q23.1	gneg
chr1	159100000	160500000	q23.2	gpos50
chr1	160500000	165500000	q23.3	gneg
chr1	185800000	190800000	q31.1	gpos100
chr1	190800000	193800000	q31.2	gneg
chr1	193800000	198700000	q31.3	gpos100
chr1	243500000	248956422	q44	gneg
chr2	0	4400000	p25.3	gneg
chr2	54700000	61000000	p16.1	gpos100
chr2	168900000	177100000	q31.1	gneg
chr2	236400000	242193529	q37.3	gneg
chr4	0	4500000	p16.3	gneg
chr4	51800000	58500000	q12	gneg
chr4	75300000	78000000	q21.1	gneg
chr4	78000000	81500000	q21.21	gpos50
chr4	81500000	83200000	q21.22	gneg
chr4	83200000	86000000	q21.23	gpos25
chr4	86000000	87100000	q21.3	gneg
chr4	186200000	190214555	q35.2	gpos25
chr5	0	4400000	p15.33	gneg
chr5	67400000	69100000	q13.1	gneg
chr5	69100000	74000000	q13.2	gpos50
chr5	74000000	77600000	q13.3	gneg
chr5	150400000	153300000	q33.1	gneg
chr5	153300000	156300000	q33.2	gpos50
chr5	156300000	160500000	q33.3	gneg
chr5	177100000	181538259	q35.3	gneg
chr6	0	2300000	p25.3	gneg
chr6	15200000	25200000	p22.3	gpos75
chr6	25200000	27100000	p22.2	gneg
chr6	27100000	30500000	p22.1	gpos50
chr6	105000000	114200000	q21	gneg
chr6	155200000	160600000	q25.3	gneg
chr6	164100000	170805979	q27	gneg
chr7	0	2800000	p22.3	gneg
chr7	77900000	86700000	q21.11	gpos100
chr7	86700000	88500000	q21.12	gneg
chr7	88500000	91500000	q21.13	gpos75
chr7	91500000	93300000	q21.2	gneg
chr7	93300000	98400000	q21.3	gpos75
chr7	107800000	115000000	q31.1	gpos75
chr7	115000000	117700000	q31.2	gneg
chr7	117700000	121400000	q31.31	gpos75
chr7	121400000	124100000	q31.32	gneg
chr7	124100000	127500000	q31.33	gpos75
chr7	155200000	159345973	q36.3	gneg
chr8	0	2300000	p23.3	gneg
chr8	138900000	145138636	q24.3	gneg
chr10	0	3000000	p15.3	gneg
chr10	128800000	133797422	q26.3	gneg
chr12	0	3200000	p13.33	gneg
chr12	3200000	5300000	p13.32	gpos25
chr12	5300000	10000000	p13.31	gneg
chr12	10000000	12600000	p13.2	gpos75
chr12	12600000	14600000	p13.1	gneg
chr12	26300000	27600000	p11.23	gneg
chr12	27600000	30500000	p11.22	gpos50
chr12	30500000	33200000	p11.21	gneg
chr12	128700000	133275309	q24.33	gneg
chr16	0	7800000	p13.3	gneg
chr16	14700000	16700000	p13.11	gneg
chr16	28500000	35300000	p11.2	gneg
chr16	66600000	70800000	q22.1	gneg
chr16	88700000	90338345	q24.3	gneg
chr17	0	3400000	p13.3	gneg
chr17	16100000	22700000	p11.2	gneg
chr17	77200000	83257441	q25.3	gneg
chr20	0	5100000	p13	gneg
chr20	30400000	33500000	q11.21	gneg
chr20	33500000	35800000	q11.22	gpos25
chr20	35800000	39000000	q11.23	gneg
chr20	51200000	56400000	q13.2	gpos75
chr20	56400000	57800000	q13.31	gneg
chr20	57800000	59700000	q13.32	gpos50
chr20	59700000	64444167	q13.33	gneg
chr22	0	4300000	p13	gvar
chr22	17400000	21700000	q11.21	gneg
chr22	49100000	50818468	q13.33	gneg
chrY	0	300000	p11.32	gneg
chrY	26600000	57227415	q12	gvar
